speed	time
0	"2016-04-15 12:16:23,414"
0	"2016-04-15 12:16:24,388"
0	"2016-04-15 12:16:25,415"
0	"2016-04-15 12:16:26,398"
0	"2016-04-15 12:16:27,414"
0	"2016-04-15 12:16:28,395"
0	"2016-04-15 12:16:29,406"
0	"2016-04-15 12:16:30,410"
0	"2016-04-15 12:16:31,398"
0	"2016-04-15 12:16:32,394"
0	"2016-04-15 12:16:33,431"
0	"2016-04-15 12:16:34,408"
0	"2016-04-15 12:16:35,407"
0	"2016-04-15 12:16:36,396"
0	"2016-04-15 12:16:37,420"
0	"2016-04-15 12:16:38,414"
0	"2016-04-15 12:16:39,437"
0	"2016-04-15 12:16:40,440"
0	"2016-04-15 12:16:41,459"
0	"2016-04-15 12:16:42,468"
0	"2016-04-15 12:16:43,486"
0	"2016-04-15 12:16:44,460"
0	"2016-04-15 12:16:45,450"
0	"2016-04-15 12:16:46,469"
0	"2016-04-15 12:16:47,458"
0	"2016-04-15 12:16:48,468"
0	"2016-04-15 12:16:49,478"
0	"2016-04-15 12:16:50,468"
0	"2016-04-15 12:16:51,460"
0	"2016-04-15 12:16:52,463"
0	"2016-04-15 12:16:53,459"
0	"2016-04-15 12:16:54,458"
0	"2016-04-15 12:16:55,458"
0	"2016-04-15 12:16:56,507"
0	"2016-04-15 12:16:57,489"
0	"2016-04-15 12:16:58,470"
0	"2016-04-15 12:16:59,486"
0	"2016-04-15 12:17:00,466"
0	"2016-04-15 12:17:01,466"
0	"2016-04-15 12:17:02,492"
0	"2016-04-15 12:17:03,492"
0	"2016-04-15 12:17:04,480"
0	"2016-04-15 12:17:05,499"
0	"2016-04-15 12:17:06,490"
0	"2016-04-15 12:17:07,487"
0	"2016-04-15 12:17:08,497"
0	"2016-04-15 12:17:09,521"
0	"2016-04-15 12:17:10,571"
0	"2016-04-15 12:17:11,573"
0	"2016-04-15 12:17:12,541"
0	"2016-04-15 12:17:13,561"
0	"2016-04-15 12:17:14,551"
0	"2016-04-15 12:17:15,577"
0	"2016-04-15 12:17:16,561"
0	"2016-04-15 12:17:17,530"
0	"2016-04-15 12:17:18,548"
0	"2016-04-15 12:17:19,558"
0	"2016-04-15 12:17:20,535"
0	"2016-04-15 12:17:21,558"
0	"2016-04-15 12:17:22,539"
0	"2016-04-15 12:17:23,559"
0	"2016-04-15 12:17:24,540"
0	"2016-04-15 12:17:25,580"
